Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
765445885	4	2	51	17	0.333333333333	17	0	136	1	0.00735294117647	37	0	326	0	0.0	58	2	513	18	0.0350877192982
765445899	5	3	67	41	0.611940298507	10	0	117	0	0.0	44	0	342	1	0.00292397660819	59	3	526	42	0.0798479087452
765445913	8	0	47	1	0.0212765957447	10	0	71	0	0.0	38	0	176	1	0.00568181818182	56	0	294	2	0.00680272108844
765445927	8	6	87	85	0.977011494253	9	0	105	0	0.0	42	0	475	2	0.00421052631579	59	6	667	87	0.130434782609
765445941	10	8	163	108	0.662576687117	9	0	118	0	0.0	39	0	546	5	0.00915750915751	58	8	827	113	0.136638452237
765445956	10	0	214	0	0.0	3	0	51	0	0.0	32	0	389	3	0.00771208226221	45	0	654	3	0.0045871559633
765445969	8	0	94	0	0.0	3	0	41	1	0.0243902439024	33	0	369	1	0.00271002710027	44	0	504	2	0.00396825396825
765445980	3	0	55	0	0.0	6	0	67	0	0.0	29	0	374	3	0.00802139037433	38	0	496	3	0.00604838709677
765445993	9	0	137	0	0.0	2	0	43	0	0.0	34	0	55	2	0.0363636363636	45	0	235	2	0.00851063829787
765446005	1	0	34	0	0.0	0	0	0	0	nan	13	0	370	1	0.0027027027027	14	0	404	1	0.00247524752475
765446017	6	0	79	0	0.0	1	0	9	0	0.0	32	0	403	5	0.0124069478908	39	0	491	5	0.010183299389
765446030	6	0	51	0	0.0	4	0	42	0	0.0	36	0	319	2	0.00626959247649	46	0	412	2	0.00485436893204
765446044	24	0	168	1	0.00595238095238	11	0	84	0	0.0	31	0	224	4	0.0178571428571	66	0	476	5	0.0105042016807
765446056	6	0	25	0	0.0	11	0	100	0	0.0	40	0	377	1	0.0026525198939	57	0	502	1	0.00199203187251
765446068	6	4	61	38	0.622950819672	9	0	78	0	0.0	43	0	421	3	0.00712589073634	58	4	560	41	0.0732142857143
765446080	8	2	91	8	0.0879120879121	11	0	132	1	0.00757575757576	36	0	305	1	0.00327868852459	55	2	528	10	0.0189393939394
765446095	6	0	30	1	0.0333333333333	2	0	6	0	0.0	39	0	201	0	0.0	47	0	237	1	0.0042194092827
765446107	0	0	0	0	nan	12	0	88	1	0.0113636363636	49	0	262	4	0.0152671755725	61	0	350	5	0.0142857142857
