Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
572335581	13	0	14	13	0.928571428571	23	0	23	1	0.0434782608696	30	0	31	0	0.0	66	0	68	14	0.205882352941
572335582	0	0	0	0	nan	11	0	49	0	0.0	22	0	64	1	0.015625	33	0	113	1	0.00884955752212
572335599	8	1	153	7	0.0457516339869	6	0	100	2	0.02	21	2	119	8	0.0672268907563	35	3	372	17	0.0456989247312
572335611	10	7	26	18	0.692307692308	8	5	28	17	0.607142857143	38	3	87	11	0.126436781609	56	15	141	46	0.326241134752
572335640	0	0	0	0	nan	1	0	3	0	0.0	37	0	70	0	0.0	38	0	73	0	0.0
572335641	0	0	0	0	nan	12	0	69	0	0.0	33	1	244	3	0.0122950819672	45	1	313	3	0.00958466453674
572335648	0	0	0	0	nan	0	0	0	0	nan	43	0	297	0	0.0	43	0	297	0	0.0
572335649	6	2	75	13	0.173333333333	1	0	3	0	0.0	46	3	253	19	0.0750988142292	53	5	331	32	0.0966767371601
572335665	10	4	32	28	0.875	6	0	20	0	0.0	37	0	91	1	0.010989010989	53	4	143	29	0.202797202797
572335666	0	0	0	0	nan	0	0	0	0	nan	28	0	510	5	0.00980392156863	28	0	510	5	0.00980392156863
572335668	7	0	8	8	1.0	6	0	6	0	0.0	13	0	16	0	0.0	26	0	30	8	0.266666666667
572335669	6	3	18	15	0.833333333333	15	0	43	0	0.0	30	0	84	1	0.0119047619048	51	3	145	16	0.110344827586
572335692	3	0	3	1	0.333333333333	18	0	25	0	0.0	19	0	20	0	0.0	40	0	48	1	0.0208333333333
572335693	0	0	0	0	nan	7	6	28	27	0.964285714286	16	3	57	11	0.19298245614	23	9	85	38	0.447058823529
572335696	1	0	2	2	1.0	5	0	9	0	0.0	16	0	40	0	0.0	22	0	51	2	0.0392156862745
572335699	0	0	0	0	nan	2	0	2	0	0.0	11	0	26	1	0.0384615384615	13	0	28	1	0.0357142857143
572335700	0	0	0	0	nan	4	0	25	1	0.04	44	0	253	1	0.00395256916996	48	0	278	2	0.00719424460432
572335713	4	0	4	4	1.0	9	0	11	0	0.0	39	0	44	0	0.0	52	0	59	4	0.0677966101695
572335714	10	0	93	0	0.0	4	0	26	0	0.0	26	0	287	3	0.0104529616725	40	0	406	3	0.00738916256158
572335728	12	5	37	11	0.297297297297	9	0	25	0	0.0	43	0	97	0	0.0	64	5	159	11	0.0691823899371
572335738	7	1	12	11	0.916666666667	7	0	11	0	0.0	39	0	73	1	0.013698630137	53	1	96	12	0.125
572335747	0	0	0	0	nan	2	0	9	0	0.0	47	0	83	1	0.0120481927711	49	0	92	1	0.0108695652174
572335753	4	0	4	3	0.75	8	0	11	0	0.0	45	0	55	0	0.0	57	0	70	3	0.0428571428571
572335754	0	0	0	0	nan	0	0	0	0	nan	43	1	327	6	0.0183486238532	43	1	327	6	0.0183486238532
572335762	6	1	10	8	0.8	13	0	23	0	0.0	30	0	48	0	0.0	49	1	81	8	0.0987654320988
572335771	20	0	56	0	0.0	9	0	29	0	0.0	39	0	123	2	0.0162601626016	68	0	208	2	0.00961538461538
572335779	2	0	2	2	1.0	2	0	2	0	0.0	16	0	16	0	0.0	20	0	20	2	0.1
572335785	4	4	40	36	0.9	9	8	83	80	0.963855421687	41	17	286	71	0.248251748252	54	29	409	187	0.457212713936
572335789	3	2	21	14	0.666666666667	9	4	31	20	0.645161290323	25	5	123	20	0.162601626016	37	11	175	54	0.308571428571
572335792	15	7	100	43	0.43	5	2	33	13	0.393939393939	35	4	100	13	0.13	55	13	233	69	0.296137339056
572335794	0	0	0	0	nan	6	0	82	2	0.0243902439024	35	1	424	9	0.0212264150943	41	1	506	11	0.0217391304348
572335814	9	4	24	20	0.833333333333	13	0	32	0	0.0	37	0	89	0	0.0	59	4	145	20	0.137931034483
