Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
GSVIVG01000278001	8	0	90	1	0.0111111111111	13	0	162	2	0.0123456790123	53	0	571	0	0.0	74	0	823	3	0.00364520048603
GSVIVG01000280001	54	47	375	302	0.805333333333	109	0	781	4	0.00512163892446	438	0	3082	7	0.00227125243348	601	47	4238	313	0.0738555922605
GSVIVG01000282001	21	12	73	68	0.931506849315	37	19	145	118	0.813793103448	274	5	1055	25	0.0236966824645	332	36	1273	211	0.165750196386
GSVIVG01000284001	11	0	36	1	0.0277777777778	20	0	51	1	0.0196078431373	101	0	246	1	0.00406504065041	132	0	333	3	0.00900900900901
GSVIVG01000285001	4	2	11	11	1.0	11	4	23	21	0.913043478261	87	0	221	6	0.027149321267	102	6	255	38	0.149019607843
GSVIVG01000286001	3	1	7	7	1.0	9	8	48	39	0.8125	83	2	346	13	0.0375722543353	95	11	401	59	0.147132169576
GSVIVG01000287001	4	4	24	24	1.0	5	3	14	11	0.785714285714	90	0	316	4	0.0126582278481	99	7	354	39	0.110169491525
GSVIVG01000288001	10	3	38	12	0.315789473684	44	4	197	42	0.213197969543	199	1	1020	6	0.00588235294118	253	8	1255	60	0.0478087649402
GSVIVG01000289001	10	0	26	3	0.115384615385	42	0	169	1	0.00591715976331	204	0	751	1	0.00133155792277	256	0	946	5	0.00528541226216
GSVIVG01000290001	6	5	21	18	0.857142857143	20	14	110	82	0.745454545455	161	2	749	24	0.0320427236315	187	21	880	124	0.140909090909
GSVIVG01000293001	6	6	70	69	0.985714285714	6	5	74	39	0.527027027027	99	1	1295	26	0.0200772200772	111	12	1439	134	0.0931202223767
GSVIVG01000299001	7	0	12	10	0.833333333333	22	8	56	30	0.535714285714	126	1	299	4	0.0133779264214	155	9	367	44	0.119891008174
GSVIVG01000300001	10	7	31	29	0.935483870968	22	11	62	47	0.758064516129	136	3	400	15	0.0375	168	21	493	91	0.184584178499
GSVIVG01000301001	16	0	49	0	0.0	31	0	84	0	0.0	136	0	412	1	0.00242718446602	183	0	545	1	0.00183486238532
GSVIVG01000303001	0	0	0	0	nan	6	4	29	19	0.655172413793	102	0	642	10	0.0155763239875	108	4	671	29	0.043219076006
GSVIVG01000305001	7	0	15	6	0.4	11	0	17	3	0.176470588235	52	0	107	0	0.0	70	0	139	9	0.0647482014388
GSVIVG01000307001	14	6	50	36	0.72	30	1	113	5	0.0442477876106	183	0	795	0	0.0	227	7	958	41	0.0427974947808
