Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
Sobic.001G051300	20	0	100	1	0.01	22	0	93	0	0.0	52	0	224	1	0.00446428571429	94	0	417	2	0.00479616306954
Sobic.001G051400	13	0	93	0	0.0	14	0	114	0	0.0	21	0	90	0	0.0	48	0	297	0	0.0
Sobic.001G051500	12	0	37	0	0.0	8	0	36	0	0.0	15	0	61	0	0.0	35	0	134	0	0.0
Sobic.001G051600	18	0	135	1	0.00740740740741	13	0	93	0	0.0	58	0	306	0	0.0	89	0	534	1	0.00187265917603
Sobic.001G051700	31	0	146	0	0.0	23	0	117	0	0.0	24	0	120	0	0.0	78	0	383	0	0.0
Sobic.001G051800	14	0	73	0	0.0	20	0	119	1	0.00840336134454	42	0	257	2	0.00778210116732	76	0	449	3	0.00668151447661
Sobic.001G052000	10	0	54	0	0.0	8	0	37	0	0.0	33	0	178	0	0.0	51	0	269	0	0.0
Sobic.001G052100	4	4	18	15	0.833333333333	16	0	128	1	0.0078125	49	0	391	2	0.00511508951407	69	4	537	18	0.0335195530726
Sobic.001G052200	37	0	101	0	0.0	21	0	59	0	0.0	44	0	134	0	0.0	102	0	294	0	0.0
Sobic.001G052350	33	0	131	0	0.0	15	0	58	0	0.0	35	0	129	0	0.0	83	0	318	0	0.0
Sobic.001G052400	6	0	49	0	0.0	19	0	149	0	0.0	51	0	277	2	0.0072202166065	76	0	475	2	0.00421052631579
Sobic.001G052500	21	0	144	1	0.00694444444444	15	0	89	0	0.0	49	0	223	1	0.00448430493274	85	0	456	2	0.00438596491228
Sobic.001G052600	23	0	64	0	0.0	17	0	54	0	0.0	37	0	106	0	0.0	77	0	224	0	0.0
Sobic.001G052700	4	4	53	52	0.981132075472	13	0	166	0	0.0	39	0	484	1	0.00206611570248	56	4	703	53	0.0753911806543
Sobic.001G052900	26	0	112	0	0.0	21	0	86	0	0.0	45	0	214	1	0.00467289719626	92	0	412	1	0.00242718446602
Sobic.001G053000	36	0	197	0	0.0	9	0	46	0	0.0	49	0	167	0	0.0	94	0	410	0	0.0
Sobic.001G053350	8	8	75	62	0.826666666667	20	0	224	1	0.00446428571429	43	0	419	0	0.0	71	8	718	63	0.0877437325905
Sobic.001G053500	28	0	115	1	0.00869565217391	20	0	64	0	0.0	28	0	102	0	0.0	76	0	281	1	0.00355871886121
Sobic.001G053700	36	0	98	0	0.0	20	0	57	1	0.0175438596491	38	0	90	0	0.0	94	0	245	1	0.00408163265306
Sobic.001G053800	10	0	110	0	0.0	9	0	101	1	0.00990099009901	48	0	487	2	0.0041067761807	67	0	698	3	0.00429799426934
Sobic.001G053900	31	0	85	0	0.0	17	0	47	0	0.0	40	0	113	0	0.0	88	0	245	0	0.0
